trialType,riskyHigh,riskyLow,EVrisky,varRisky,Vsafe,EVriskyMinusVsafe,chooseRisky,choseSafe,SVrisky,SVdiff,subject,condition,EVdiffMC,condMC,EVcond_int_MC
3,0,-17,-8.5,17,-10,1.5,0,1,-16.5872701588164,-6.58727015881642,1,0,0.712781098775975,-0.500426985482494,-0.400694091459245
1,40,0,20,40,20,0,0,1,16.483997698218,-3.51600230178196,1,0,-0.787218901224025,-0.500426985482494,0.349946386764496
2,55,-42,6.5,97,0,6.5,1,0,13.3615584051287,13.3615584051287,1,0,5.71278109877597,-0.500426985482494,-2.90282901887171
2,55,-19,18,74,0,18,1,0,23.0920430752778,23.0920430752778,1,0,17.212781098776,-0.500426985482494,-8.65773935192039
2,75,-150,-37.5,225,0,-37.5,0,1,-4.65231502067072,-4.65231502067072,1,0,-38.287218901224,-0.500426985482494,19.115958342358
1,17,0,8.5,17,10,-1.5,0,1,7.81675917018082,-2.18324082981918,1,0,-2.28721890122402,-0.500426985482494,1.10058686498824
3,0,-50,-25,50,-25,0,0,1,-242.619725983607,-217.619725983607,1,0,-0.787218901224025,-0.500426985482494,0.349946386764496
1,54,0,27,54,15,12,1,0,20.8625873813005,5.86258738130051,1,0,11.212781098776,-0.500426985482494,-5.65517743902543
3,0,-63,-31.5,63,-20,-11.5,1,0,-242.32333798006,-222.32333798006,1,1,-12.287218901224,0.499573014517506,-6.18236218141085
2,25,-19,3,44,0,3,1,0,3.62098641009716,3.62098641009716,1,1,2.21278109877598,0.499573014517506,1.06144652909299
