subjNumb,guiltEffect
301,-0.437912043838853
302,-1.03009939696168
304,-1.17568716347789
305,-1.16377863137293
306,-0.30406179151744
307,0.00300836745281341
308,-0.523641220402153
309,-0.76576525024704
310,-0.255451604969265
311,-1.10912131422023
312,-0.618187233901938
313,-0.886208202161137
314,0.501764047141592
315,-0.136008187883885
316,0
317,0.107412939341849
318,-0.548443327434217
319,-0.700742934737314
320,-0.429415285722469
321,-0.668538992388736
322,0.322567561648863
323,0.254453626986859
324,-1.24054809697912
325,0.971918415900287
326,-0.476225918460972
327,0.604096752106846
328,-0.387493562845151
329,-1.45493093468008
330,-1.20142476007721
331,0.396527198136346
332,-0.497848703311884
333,0
334,-1.52017439524103
335,-0.121949968724042
336,0.0907101544032942
337,-0.413794800096964
338,-0.49088372729946
339,-1.80365821003201
340,0.131255038242682
341,0.241469853304571
342,-0.497062724917753
343,3.18431684758774
344,0.604015681617035
345,NaN
346,-0.249678080053767
347,0.300885468994979
348,NaN
349,-1.90087870053332
