CR,EV,sRPE,gamma,social_pRPE
1.39795512177188,0.611405661191298,1.43051501357601,0.541990797904628,0.999999911605736
0.61282662111423,0.702681794378116,2.74854198474809,0.356889040085664,0.121078507211584
-0.611127886652341,0.285022104347671,1.5030884364704,0.0674215850469174,0.494230472598248
1.95133518149064,0.819679804145121,2.00812053925975,0.421222747168946,0.999999999992971
0.409556366106894,0.268548230438097,-0.278575508416721,0.958792115401272,0.20701112001217
1.12439538913855,0.999168057695209,1.26127231542383,0.918733231511593,0.444221493122643
0.360877247633619,0.064199147693112,-0.6059143378338,0.830863368476428,-0.245587825083978
1.8093607943624,0.611702030528787,1.21235099898317,0.010000000010159,0.9999999999934
2.09728645392624,0.910681287604478,2.80422516872821,0.304064852807705,-0.801614477497739
1.34613336748502,0.7171815748271,1.97935061996002,0.635860178363168,-0.199002650547606
1.5836612037964,0.838755526353971,1.29437204237228,0.796928228754701,0.0423631629271546
1.42839476665019,0.258932624600019,2.2068074905278,0.211103624828716,-0.0322354342814392
2.98143493387303,0.219298130563913,2.84444004412717,0.195044754284371,-0.236893722181191
0.954402050169184,0.540240823202491,2.09997943925196,0.44906606629431,0.0959802545237405
0.390523768779072,0.322541689654402,0.731110256863472,0.819733057139986,0.911180172774746
2.15540739156802,1.4633667566149,0.913817358964837,0.31868783115149,0.572572341680518
1.12323405202336,0.555464056711325,1.49472784584233,0.729710169099545,-0.406338398020847
0.625387180313359,0.238850281295726,0.388831496216742,0.941293434769775,-0.109567776660081
1.04176099136345,0.445245913983539,2.22243478894789,0.534949532681902,-0.826399550600958
-0.113828569888882,0.043390333315077,0.903158573962396,0.92959845525417,0.476948688446214
4.99999999641386,1.44523618102737,0.848560651693196,0.0630506903403939,-0.0189639468167899
1.32639184298592,0.640107840870176,1.68311095000391,0.798000390667955,0.667694810196092
2.00625627118121,0.897259004621654,2.58462850931028,0.337318943253871,-0.358429746243289
1.26925349922331,0.553459835299441,0.789628667236081,0.379695449272158,0.760359511793236
1.26536874491984,0.555796001102735,1.70283267486176,0.432867545386978,0.213554998164627
0.876087571094367,-0.0230027193210285,1.96816704148702,0.620519784004462,0.999999999842004
1.20032823286024,0.382037609114871,0.67174890093518,0.743539784819905,0.910874107944302
0.347095339329816,0.137228437066453,0.82637713102419,0.864813064034056,-0.348103207292434
2.12465690180328,0.680555461858387,1.85341452042975,0.542010301581944,0.0324575445594196
1.17258531199054,2.20741148032449,1.5287797761741,0.298317391511255,0.65013663892262
0.602549557779644,1.23308688776889,0.806710417338845,0.1695166953852,0.999999999999704
4.10746206071914,0.752493469574693,1.45345248464105,0.0859290597527105,0.999999999999222
0.0340587402944057,1.21893107544776,1.81139491291082,0.371843507728362,0.802112247924541
0.353249540826322,0.195749926588403,0.0490740766115674,0.587209019660959,-0.174577274444388
1.39264018943222,0.630512735435614,1.28861222136166,0.431145030996662,0.999999942418217
2.5111184242024,1.50439126386761,2.45312039591801,0.506017265407594,0.142593389992476
2.33440624620457,0.302376581813559,1.56650717174297,0.29614904964589,-0.434607152200818
1.81460717341846,-0.385680400543697,2.14490549009228,0.0425887281203308,0.00837726606071493
-0.627119789679775,1.07772866571056,0.978686954021369,0.0100000000020519,0.999999999998156
0.767390413420413,0.73436454657736,1.42250940310115,0.372416030728714,0.371219397593419
