CR,EV,sRPE,gamma
-0.609312473112732,0.158852492691253,1.53770759541437,0.0946665583409134
1.8953154171831,0.728829294944995,2.34295959645875,0.382468089043137
0.378554226145682,0.251990272212147,-0.327871672636287,0.951265394987542
1.21815830814,0.827162947148004,1.12907348493531,0.935515751912024
0.274532816407335,-0.025341235319037,-0.589365219714147,0.843537909512287
1.80982311857065,0.78548266348223,1.18700329230861,0.0100000000003948
2.08522184694479,0.713457853728422,2.67174206134982,0.332211934164311
1.38579083079172,0.731675891125751,2.00881261956613,0.641439353109005
1.56643286458222,0.825841643733607,1.28676870097311,0.800020486289565
1.42272608320945,0.257768010883639,2.20836730944244,0.208315657869274
2.99291899620297,0.179791541996951,2.82627817652743,0.199124211940556
0.961885202482009,0.547788056194509,2.09781333337639,0.449073140865408
0.416248745589777,0.142735991789561,0.897213729913017,0.80275110084988
2.14314080178433,1.41168740436821,0.926458052499662,0.311793030242465
1.26134809590445,0.489996170678327,1.33369047789404,0.711275932974087
0.665341416662125,0.272058143562888,0.394901764521757,0.936849021793513
1.21848980770011,0.758863388109113,2.38927937250199,0.472621771225178
-0.231097014974471,-0.127165956696929,0.811498861761421,0.924459677998971
4.99999999644654,1.44084588204844,0.8460106955097,0.0624530805822778
1.27465353147103,0.650430415959922,1.80722233914703,0.788606824925807
1.99460733528777,0.91985079301424,2.5811551855902,0.332173378726669
1.2346217662933,0.598389119801548,0.790213604456244,0.464934932658362
1.2630168767006,0.554999502106372,1.68268347885568,0.452725950348632
0.771590953155973,0.122974702511539,1.93569962339626,0.691796120902644
1.00083617158078,0.532812569240945,0.649907317074118,0.82650621987973
0.354337970697609,0.0765310264904099,0.891769568151227,0.827463537599125
2.12395472317859,0.684263908028141,1.85291205993123,0.542183354332719
1.18121985633797,2.31356118214693,1.60328768622424,0.295865448240905
0.561550040807728,0.875466291564557,0.799317678246585,0.115867755585764
4.15450591366763,0.613060354885042,1.23974208969658,0.140266243039019
-0.0153417066919206,1.00257524421701,1.58607514568117,0.403872075830757
0.331813574802355,0.20138078291225,0.0259497781766057,0.639144874236393
1.63194566455624,0.912945477422758,1.35343289288743,0.251006862681886
2.5003811977712,1.51592960207588,2.47129896619445,0.502801405617159
2.19678310946484,0.367870506927068,1.39384970795338,0.395451288042516
1.81423096070361,-0.38637046854996,2.14479584738545,0.0428863600731613
-0.625924821681452,1.06015503136593,0.793202998758254,0.0100000000041667
0.754034031929776,0.808750414212668,1.3962103081843,0.334717674512743
1.47436014688342,0.299277298252312,1.5870812327737,0.445789021960068
0.60153693087555,0.670220433888667,2.7512891241053,0.363084386860914
