subjNumb,guiltEffect
80,-1.50370265289351
97,-0.339447796084468
111,-0.494072977318428
112,-0.0385904543383543
113,0.0759198202229306
114,0.386673750158141
115,0.373843967840924
116,-1.10289435450047
117,-0.379698593665291
119,0.680646367362263
128,0.491046806027545
130,0.239612712409739
131,-0.74162050076197
133,-0.705425736353179
137,-0.332830916871392
138,-1.47018172182705
139,-1.01716377663452
140,-1.10448467692251
141,-0.364871605448268
142,0.939331023817769
143,-0.0731045634442423
144,0.0653886295968812
145,0.74080272674457
147,-0.704451555897254
149,0.332662535206301
153,-0.422704597332982
154,-0.199846048576833
156,-0.386622418688638
157,0.454791884980972
158,-1.18745551905667
159,-0.916843536968969
160,0.052990030010848
161,-0.887568161173334
162,-0.121161336561262
163,-1.09135443347363
164,-0.478458537476768
165,-0.635270059500475
169,0.815164607100222
170,-0.453457629337084
172,-0.722048842547337
