trialType,riskyHigh,riskyLow,EVrisky,varRisky,Vsafe,EVriskyMinusVsafe,chooseRisky,choseSafe,SVrisky,SVdiff,subject,condition,EVdiffMC,condMC,EVcond_int_MC
1,72,0,36,72,20,16,1,0,23.0249766782194,3.02497667821937,1,0,14.9525,-0.5,-7.3415625
2,55,-11,22,66,0,22,1,0,11.3739143098975,11.3739143098975,1,0,20.9525,-0.5,-10.3415625
2,75,-75,0,150,0,0,0,1,-58.7962719817463,-58.7962719817463,1,0,-1.0475,-0.5,0.6584375
3,0,-105,-52.5,105,-25,-27.5,0,1,-370.692030120304,-345.692030120304,1,0,-28.5475,-0.5,14.4084375
3,0,-37,-18.5,37,-15,-3.5,0,1,-33.8648378016066,-18.8648378016066,1,0,-4.5475,-0.5,2.4084375
1,150,0,75,150,30,45,1,0,32.1483761782285,2.1483761782285,1,0,43.9525,-0.5,-21.8415625
1,60,0,30,60,30,0,0,1,20.5608123621133,-9.43918763788671,1,0,-1.0475,-0.5,0.6584375
2,40,-26,7,66,0,7,0,1,-2.32082385130623,-2.32082385130623,1,0,5.9525,-0.5,-2.8415625
2,40,-40,0,80,0,0,1,0,-34.4797477791124,-34.4797477791124,1,1,-1.0475,0.5,-0.3890625
3,0,-63,-31.5,63,-15,-16.5,0,1,-37.1137409572185,-22.1137409572185,1,1,-17.5475,0.5,-8.6390625
1,62,0,31,62,25,6,1,0,216.800643195904,191.800643195904,1,1,4.9525,0.5,2.6109375
1,50,0,25,50,10,15,1,0,113.771240233731,103.771240233731,1,1,13.9525,0.5,7.1109375
2,15,-12,1.5,27,0,1.5,0,1,-1.73344591571982,-1.73344591571982,1,1,0.4525,0.5,0.3609375
1,95,0,47.5,95,30,17.5,1,0,1190.16852355205,1160.16852355205,1,1,16.4525,0.5,8.3609375
2,55,-42,6.5,97,0,6.5,0,1,-37.5497147242146,-37.5497147242146,1,1,5.4525,0.5,2.8609375
3,0,-84,-42,84,-30,-12,0,1,-52.3640200835596,-22.3640200835596,1,1,-13.0475,0.5,-6.3890625
3,0,-67,-33.5,67,-30,-3.5,1,0,-39.894731525892,-9.89473152589201,1,1,-4.5475,0.5,-2.1390625
3,0,-30,-15,30,-15,0,1,0,-16.2012098368941,-1.2012098368941,1,1,-1.0475,0.5,-0.3890625
3,0,-56,-28,56,-25,-3,0,1,-32.3807114826699,-7.38071148266992,1,1,-4.0475,0.5,-1.8890625
3,0,-36,-18,36,-20,2,1,0,-19.7478758476539,0.252124152346116,1,1,0.9525,0.5,0.6109375
2,25,-34,-4.5,59,0,-4.5,1,0,-25.3117395655896,-25.3117395655896,1,1,-5.5475,0.5,-2.6390625
2,25,-25,0,50,0,0,0,1,-12.1335990135888,-12.1335990135888,1,1,-1.0475,0.5,-0.3890625
2,40,-36,2,76,0,2,1,0,-26.5359791300243,-26.5359791300243,1,1,0.9525,0.5,0.6109375
2,75,-83,-4,158,0,-4,0,1,-253.16760547876,-253.16760547876,1,1,-5.0475,0.5,-2.3890625
3,0,-42,-21,42,-10,-11,0,1,-23.4041205451437,-13.4041205451437,1,1,-12.0475,0.5,-5.8890625
1,150,0,75,150,30,45,1,0,19285.7451749443,19255.7451749443,1,1,43.9525,0.5,22.1109375
2,15,-10,2.5,25,0,2.5,0,1,-0.2427854676202,-0.2427854676202,1,1,1.4525,0.5,0.8609375
3,0,-42,-21,42,-15,-6,0,1,-23.4041205451437,-8.40412054514373,1,1,-7.0475,0.5,-3.3890625
2,15,-30,-7.5,45,0,-7.5,0,1,-21.3554436500106,-21.3554436500106,1,1,-8.5475,0.5,-4.1390625
2,75,-48,13.5,123,0,13.5,0,1,-51.9592432023751,-51.9592432023751,1,1,12.4525,0.5,6.3609375
3,0,-33,-16.5,33,-15,-1.5,0,1,-17.9610531049786,-2.96105310497861,1,1,-2.5475,0.5,-1.1390625
1,63,0,31.5,63,15,16.5,1,0,228.543076718037,213.543076718037,1,1,15.4525,0.5,7.8609375
3,0,-37,-18.5,37,-15,-3.5,0,1,-20.3495501740802,-5.34955017408017,1,1,-4.5475,0.5,-2.1390625
2,40,-14,13,54,0,13,1,0,1.4333229869152,1.4333229869152,1,1,11.9525,0.5,6.1109375
3,0,-84,-42,84,-30,-12,0,1,-52.3640200835596,-22.3640200835596,1,1,-13.0475,0.5,-6.3890625
1,50,0,25,50,10,15,1,0,113.771240233731,103.771240233731,1,1,13.9525,0.5,7.1109375
3,0,-25,-12.5,25,-15,2.5,0,1,-13.3269884705413,1.67301152945867,1,1,1.4525,0.5,0.8609375
2,75,-58,8.5,133,0,8.5,1,0,-86.3355849459125,-86.3355849459125,1,1,7.4525,0.5,3.8609375
3,0,-54,-27,54,-15,-12,0,1,-31.0589928846236,-16.0589928846236,1,1,-13.0475,0.5,-6.3890625
1,20,0,10,20,10,0,1,0,17.2831783665041,7.28317836650413,1,1,-1.0475,0.5,-0.3890625
3,0,-20,-10,20,-10,0,0,1,-10.5247328668832,-0.524732866883161,1,1,-1.0475,0.5,-0.3890625
3,0,-50,-25,50,-25,0,0,1,-28.4554358182641,-3.45543581826408,1,1,-1.0475,0.5,-0.3890625
2,55,-28,13.5,83,0,13.5,1,0,-12.3665028294672,-12.3665028294672,1,1,12.4525,0.5,6.3609375
1,20,0,10,20,10,0,1,0,17.2831783665041,7.28317836650413,1,1,-1.0475,0.5,-0.3890625
2,40,-20,10,60,0,10,1,0,-4.13571006745421,-4.13571006745421,1,1,8.9525,0.5,4.6109375
1,25,0,12.5,25,10,2.5,1,0,25.0915452199254,15.0915452199254,1,1,1.4525,0.5,0.8609375
1,36,0,18,36,10,8,1,0,51.084426420551,41.084426420551,1,1,6.9525,0.5,3.6109375
1,33,0,16.5,33,15,1.5,1,0,42.5109674157635,27.5109674157635,1,1,0.4525,0.5,0.3609375
3,0,-18,-9,18,-10,1,1,0,-9.4235758842758,0.576424115724196,1,1,-0.0475000000000001,0.5,0.1109375
2,40,-40,0,80,0,0,0,1,-34.4797477791124,-34.4797477791124,1,1,-1.0475,0.5,-0.3890625
1,72,0,36,72,20,16,1,0,365.740333735488,345.740333735488,1,1,14.9525,0.5,7.6109375
2,55,-35,10,90,0,10,0,1,-23.3680804069482,-23.3680804069482,1,1,8.9525,0.5,4.6109375
3,0,-126,-63,126,-30,-33,0,1,-88.1985552739521,-58.1985552739521,1,1,-34.0475,0.5,-16.8890625
1,74,0,37,74,30,7,1,0,405.662232140185,375.662232140185,1,1,5.9525,0.5,3.1109375
2,25,-28,-1.5,53,0,-1.5,0,1,-16.0578901144885,-16.0578901144885,1,1,-2.5475,0.5,-1.1390625
2,75,-58,8.5,133,0,8.5,0,1,-86.3355849459125,-86.3355849459125,1,1,7.4525,0.5,3.8609375
1,67,0,33.5,67,30,3.5,0,1,281.918306121004,251.918306121004,1,1,2.4525,0.5,1.3609375
1,33,0,16.5,33,15,1.5,1,0,42.5109674157635,27.5109674157635,1,1,0.4525,0.5,0.3609375
1,42,0,21,42,10,11,1,0,72.6680474468614,62.6680474468614,1,1,9.9525,0.5,5.1109375
3,0,-74,-37,74,-30,-7,0,1,-44.8993000127898,-14.8993000127898,1,1,-8.0475,0.5,-3.8890625
1,47,0,23.5,47,15,8.5,0,1,96.3851361895238,81.3851361895238,1,1,7.4525,0.5,3.8609375
2,40,-8,16,48,0,16,1,0,5.91315288431807,5.91315288431807,1,1,14.9525,0.5,7.6109375
1,36,0,18,36,10,8,1,0,51.084426420551,41.084426420551,1,1,6.9525,0.5,3.6109375
3,0,-100,-50,100,-20,-30,0,1,-65.1236630308312,-45.1236630308312,1,1,-31.0475,0.5,-15.3890625
1,28,0,14,28,10,4,1,0,30.815564723412,20.815564723412,1,1,2.9525,0.5,1.6109375
2,15,-20,-2.5,35,0,-2.5,0,1,-8.90529921401893,-8.90529921401893,1,1,-3.5475,0.5,-1.6390625
3,0,-63,-31.5,63,-20,-11.5,0,1,-37.1137409572185,-17.1137409572185,1,1,-12.5475,0.5,-6.1390625
2,75,-26,24.5,101,0,24.5,0,1,-8.73591807480682,-8.73591807480682,1,1,23.4525,0.5,11.8609375
2,40,-40,0,80,0,0,1,0,-9.78574141662643,-9.78574141662643,2,0,-1.0475,-0.5,0.6584375
2,25,-13,6,38,0,6,1,0,3.76481567618388,3.76481567618388,2,0,4.9525,-0.5,-2.3415625
2,55,-55,0,110,0,0,1,0,-18.8184862039054,-18.8184862039054,2,0,-1.0475,-0.5,0.6584375
1,84,0,42,84,30,12,1,0,769.567293957326,739.567293957326,2,0,10.9525,-0.5,-5.3415625
3,0,-62,-31,62,-25,-6,0,1,-377.461586328791,-352.461586328791,2,0,-7.0475,-0.5,3.6584375
1,150,0,75,150,30,45,1,0,24760.9710531129,24730.9710531129,2,0,43.9525,-0.5,-21.8415625
1,50,0,25,50,25,0,1,0,121.579322070004,96.5793220700045,2,0,-1.0475,-0.5,0.6584375
3,0,-125,-62.5,125,-25,-37.5,0,1,-19762.4077706402,-19737.4077706402,2,0,-38.5475,-0.5,19.4084375
3,0,-56,-28,56,-25,-3,0,1,-256.923615669538,-231.923615669538,2,0,-4.0475,-0.5,2.1584375
3,0,-42,-21,42,-10,-11,0,1,-102.436593488537,-92.4365934885368,2,0,-12.0475,-0.5,6.1584375
2,25,-25,0,50,0,0,1,0,-3.77820951073837,-3.77820951073837,2,0,-1.0475,-0.5,0.6584375
3,0,-36,-18,36,-10,-8,0,1,-67.9018866908682,-57.9018866908682,2,0,-9.0475,-0.5,4.6584375
3,0,-36,-18,36,-10,-8,0,1,-67.9018866908682,-57.9018866908682,2,0,-9.0475,-0.5,4.6584375
2,75,-48,13.5,123,0,13.5,0,1,-7.72825858512823,-7.72825858512823,2,0,12.4525,-0.5,-6.0915625
3,0,-67,-33.5,67,-30,-3.5,1,0,-518.86352105923,-488.86352105923,2,0,-4.5475,-0.5,2.4084375
1,63,0,31.5,63,20,11.5,0,1,249.627834170726,229.627834170726,2,0,10.4525,-0.5,-5.0915625
1,84,0,42,84,30,12,1,0,769.567293957326,739.567293957326,2,0,10.9525,-0.5,-5.3415625
1,47,0,23.5,47,15,8.5,1,0,102.501477772837,87.5014777728367,2,0,7.4525,-0.5,-3.5915625
1,67,0,33.5,67,30,3.5,1,0,310.078388942249,280.078388942249,2,0,2.4525,-0.5,-1.0915625
1,30,0,15,30,15,0,1,0,36.4237206341591,21.4237206341591,2,0,-1.0475,-0.5,0.6584375
2,75,-67,4,142,0,4,0,1,-26.7096075015553,-26.7096075015553,2,0,2.9525,-0.5,-1.3415625
1,56,0,28,56,20,8,1,0,170.033612733837,150.033612733837,2,0,6.9525,-0.5,-3.3415625
1,105,0,52.5,105,25,27.5,1,0,2332.60475003251,2307.60475003251,2,0,26.4525,-0.5,-13.0915625
1,18,0,9,18,10,-1,0,1,14.9656403460467,4.96564034604671,2,0,-2.0475,-0.5,1.1584375
3,0,-18,-9,18,-10,1,0,1,-16.6417347913442,-6.64173479134425,2,0,-0.0475000000000001,-0.5,0.1584375
2,75,-83,-4,158,0,-4,0,1,-46.4166699239334,-46.4166699239334,2,0,-5.0475,-0.5,2.6584375
2,55,-110,-27.5,165,0,-27.5,0,1,-94.1780296563568,-94.1780296563568,2,0,-28.5475,-0.5,14.4084375
1,50,0,25,50,20,5,1,0,121.579322070004,101.579322070004,2,0,3.9525,-0.5,-1.8415625
1,70,0,35,70,25,10,1,0,364.501480821757,339.501480821757,2,0,8.9525,-0.5,-4.3415625
3,0,-95,-47.5,95,-30,-17.5,0,1,-3023.89022817724,-2993.89022817724,2,0,-18.5475,-0.5,9.4084375
1,63,0,31.5,63,15,16.5,1,0,249.627834170726,234.627834170726,2,0,15.4525,-0.5,-7.5915625
3,0,-42,-21,42,-15,-6,0,1,-102.436593488537,-87.4365934885368,2,0,-7.0475,-0.5,3.6584375
2,15,-5,5,20,0,5,1,0,4.28721841847368,4.28721841847368,2,0,3.9525,-0.5,-1.8415625
2,25,-28,-1.5,53,0,-1.5,1,0,-5.83988522886034,-5.83988522886034,2,0,-2.5475,-0.5,1.4084375
3,0,-60,-30,60,-30,0,0,1,-332.168656000502,-302.168656000502,2,0,-1.0475,-0.5,0.6584375
2,75,-101,-13,176,0,-13,0,1,-73.6153330432323,-73.6153330432323,2,0,-14.0475,-0.5,7.1584375
2,55,-49,3,104,0,3,0,1,-13.2181407763115,-13.2181407763115,2,0,1.9525,-0.5,-0.8415625
1,40,0,20,40,20,0,1,0,68.091973970417,48.091973970417,2,0,-1.0475,-0.5,0.6584375
1,25,0,12.5,25,15,-2.5,1,0,25.8273729639878,10.8273729639878,2,0,-3.5475,-0.5,1.9084375
1,33,0,16.5,33,15,1.5,1,0,44.2501464927597,29.2501464927597,2,0,0.4525,-0.5,-0.0915624999999999
3,0,-56,-28,56,-25,-3,0,1,-256.923615669538,-231.923615669538,2,0,-4.0475,-0.5,2.1584375
2,40,-31,4.5,71,0,4.5,0,1,-2.89234887913748,-2.89234887913748,2,0,3.4525,-0.5,-1.5915625
1,63,0,31.5,63,20,11.5,1,0,249.627834170726,229.627834170726,2,0,10.4525,-0.5,-5.0915625
3,0,-60,-30,60,-30,0,0,1,-332.168656000502,-302.168656000502,2,0,-1.0475,-0.5,0.6584375
1,28,0,14,28,10,4,1,0,31.8495011781116,21.8495011781116,2,0,2.9525,-0.5,-1.3415625
2,40,-14,13,54,0,13,1,0,8.26166656441868,8.26166656441868,2,0,11.9525,-0.5,-5.8415625
1,62,0,31,62,25,6,1,0,236.393923867145,211.393923867145,2,0,4.9525,-0.5,-2.3415625
3,0,-47,-23.5,47,-15,-8.5,0,1,-142.948926074119,-127.948926074119,2,0,-9.5475,-0.5,4.9084375
3,0,-70,-35,70,-25,-10,0,1,-627.518716418091,-602.518716418091,2,0,-11.0475,-0.5,5.6584375
1,22,0,11,22,10,1,1,0,20.6814662267131,10.6814662267131,2,0,-0.0475000000000001,-0.5,0.1584375
3,0,-56,-28,56,-20,-8,0,1,-256.923615669538,-236.923615669538,2,0,-9.0475,-0.5,4.6584375
2,25,-22,1.5,47,0,1.5,1,0,-1.78943404094216,-1.78943404094216,2,0,0.4525,-0.5,-0.0915624999999999
1,50,0,25,50,25,0,1,0,121.579322070004,96.5793220700045,2,0,-1.0475,-0.5,0.6584375
1,84,0,42,84,20,22,1,0,769.567293957326,749.567293957326,2,0,20.9525,-0.5,-10.3415625
2,15,-12,1.5,27,0,1.5,1,0,0.410236669325594,0.410236669325594,2,0,0.4525,-0.5,-0.0915624999999999
2,75,-58,8.5,133,0,8.5,0,1,-17.1784768726787,-17.1784768726787,2,0,7.4525,-0.5,-3.5915625
2,40,-20,10,60,0,10,1,0,4.58197741135227,4.58197741135227,2,0,8.9525,-0.5,-4.3415625
3,0,-32,-16,32,-10,-6,1,0,-51.1124487914452,-41.1124487914452,2,0,-7.0475,-0.5,3.6584375
1,95,0,47.5,95,30,17.5,1,0,1377.17376384073,1347.17376384073,2,0,16.4525,-0.5,-8.0915625
1,126,0,63,126,30,33,1,0,7031.3942785224,7001.3942785224,2,0,31.9525,-0.5,-15.8415625
2,15,-15,0,30,0,0,1,0,0.112502109390788,0.112502109390788,2,1,-1.0475,0.5,-0.3890625
2,15,-5,5,20,0,5,1,0,5.06277190420062,5.06277190420062,2,1,3.9525,0.5,2.1109375
1,36,0,18,36,10,8,1,0,57.8010189808454,47.8010189808454,2,1,6.9525,0.5,3.6109375
3,0,-50,-25,50,-10,-15,1,0,-201.496230396013,-191.496230396013,2,1,-16.0475,0.5,-7.8890625
3,0,-22,-11,22,-10,-1,1,0,-24.9541113018006,-14.9541113018006,2,1,-2.0475,0.5,-0.8890625
2,75,-38,18.5,113,0,18.5,1,0,20.2985458879155,20.2985458879155,2,1,17.4525,0.5,8.8609375
1,54,0,27,54,15,12,1,0,173.24228891614,158.24228891614,2,1,10.9525,0.5,5.6109375
1,36,0,18,36,20,-2,0,1,57.8010189808454,37.8010189808454,2,1,-3.0475,0.5,-1.3890625
2,75,-150,-37.5,225,0,-37.5,0,1,-30.7039363451554,-30.7039363451554,2,1,-38.5475,0.5,-19.1390625
3,0,-90,-45,90,-25,-20,0,1,-2980.62046052144,-2955.62046052144,2,1,-21.0475,0.5,-10.3890625
2,40,-80,-20,120,0,-20,1,0,-18.036439710488,-18.036439710488,2,1,-21.0475,0.5,-10.3890625
1,30,0,15,30,15,0,1,0,38.812044237374,23.812044237374,2,1,-1.0475,0.5,-0.3890625
3,0,-100,-50,100,-20,-30,0,1,-5802.88966567782,-5782.88966567782,2,1,-31.0475,0.5,-15.3890625
1,32,0,16,32,10,6,1,0,44.4501724567962,34.4501724567962,2,1,4.9525,0.5,2.6109375
2,25,-16,4.5,41,0,4.5,1,0,4.72122028985699,4.72122028985699,2,1,3.4525,0.5,1.8609375
3,0,-47,-23.5,47,-15,-8.5,0,1,-163.693818695749,-148.693818695749,2,1,-9.5475,0.5,-4.6390625
2,40,-80,-20,120,0,-20,1,0,-18.036439710488,-18.036439710488,2,1,-21.0475,0.5,-10.3890625
