happiness,cond,Vsafe,riskyHi,riskyLo,choseRisky,subjectWon,partnerWon,rewardSubj,rewardPart,subject,EV,ineq,ineqAdv,ineqDisadv,sRPE,pRPE,subjDecided,socialTrial
-1.73522376001428,2,0,0.55,-0.42,1,0,0,-0.42,-0.42,2,0.065,0,NaN,NaN,-0.485,-0.485,0,1
-1.73522376001428,2,0,0.75,-0.67,1,0,1,-0.67,0.75,2,0.04,1,NaN,1,-0.71,0.71,0,1
-1.34204617088718,2,0,0.15,-0.1,1,0,0,-0.1,-0.1,2,0.025,0,NaN,NaN,-0.125,-0.125,0,1
0.230664185621234,1,0.1,0.22,0,1,0,1,0,0.22,2,0.11,1,NaN,1,-0.11,0.11,1,1
0.859748328224598,1,0,0.25,-0.22,1,1,0,0.25,-0.22,2,0.015,1,1,NaN,0.235,-0.235,1,1
0.702477292573757,1,0.25,0.5,0,1,1,1,0.5,0.5,2,0.25,0,0,0,0.25,0.25,1,1
-0.0838778856804486,1,0,0.15,-0.12,1,0,1,-0.12,0.15,2,0.015,1,NaN,1,-0.135,0.135,1,1
1.01701936387544,1,0,0.4,-0.2,1,1,0,0.4,-0.2,2,0.1,1,1,NaN,0.3,-0.3,1,1
1.48883247082796,1,0.3,0.95,0,1,1,0,0.95,0,2,0.475,1,1,NaN,0.475,-0.475,1,1
0.53663819377768,1,0,0.4,-0.44,1,1,1,0.4,0.4,3,-0.02,0,0,0,0.42,0.42,1,1
-1.4049673314481,1,-0.1,0,-0.32,1,0,1,-0.32,0,3,-0.16,1,NaN,1,-0.16,0.16,1,1
1.50744095639057,2,0.25,0.79,0,1,1,1,0.79,0.79,3,0.395,0,0,0,0.395,0.395,0,1
-1.08136641057713,2,0.25,0.79,0,1,0,0,0,0,3,0.395,0,NaN,NaN,-0.395,-0.395,0,1
1.66924141682605,2,0,0.75,-0.48,1,0,0,-0.48,-0.48,3,0.135,0,NaN,NaN,-0.615,-0.615,0,1
-0.191463878181986,1,-0.25,0,-0.46,1,1,0,0,-0.46,3,-0.23,1,1,NaN,0.23,-0.23,1,1
-0.191463878181986,2,0.1,0.22,0,1,1,0,0.22,0,3,0.11,1,1,NaN,0.11,-0.11,0,1
-1.4049673314481,2,0.3,0.74,0,1,0,1,0,0.74,3,0.37,1,NaN,1,-0.37,0.37,0,1
-1.56676779188358,1,0,0.4,-0.8,1,0,1,-0.8,0.4,3,-0.2,1,NaN,1,-0.6,0.6,1,1
-0.191463878181986,2,0,0.25,-0.09,1,1,0,0.25,-0.09,3,0.08,1,1,NaN,0.17,-0.17,0,1
-0.191463878181986,2,0,0.15,-0.13,1,1,0,0.15,-0.13,3,0.01,1,1,NaN,0.14,-0.14,0,1
-1.08136641057713,1,0,0.4,-0.54,1,1,0,0.4,-0.54,3,-0.07,1,1,NaN,0.47,-0.47,1,1
-1.4049673314481,1,-0.1,0,-0.25,1,0,1,-0.25,0,3,-0.125,1,NaN,1,-0.125,0.125,1,1
-0.191463878181986,2,0,0.4,-0.14,1,0,0,-0.14,-0.14,3,0.13,0,NaN,NaN,-0.27,-0.27,0,1
0.617538423995421,1,0,0.25,-0.5,1,1,1,0.25,0.25,3,-0.125,0,0,0,0.375,0.375,1,1
1.83104187726153,1,0.15,0.42,0,1,1,1,0.42,0.42,3,0.21,0,0,0,0.21,0.21,1,1
1.75014164704379,2,0.2,0.63,0,1,1,1,0.63,0.63,3,0.315,0,0,0,0.315,0.315,0,1
-0.114562140219275,2,0.15,0.33,0,1,0,0,0,0,3,0.165,0,NaN,NaN,-0.165,-0.165,0,1
-1.94268139903749,1,0.25,0.7,0,1,0,0,0,0,3,0.35,0,NaN,NaN,-0.35,-0.35,1,1
-0.114562140219275,1,-0.25,0,-0.46,1,0,1,-0.46,0,3,-0.23,1,NaN,1,-0.23,0.23,1,1
1.64043234824621,1,0,0.25,-0.28,1,0,0,-0.28,-0.28,3,-0.015,0,NaN,NaN,-0.265,-0.265,1,1
-0.407061221630188,1,0,0.75,-0.38,1,1,0,0.75,-0.38,3,0.185,1,1,NaN,0.565,-0.565,1,1
0.177936941191639,2,0.3,0.95,0,1,1,0,0.95,0,3,0.475,1,1,NaN,0.475,-0.475,0,1
-1.50393277692112,1,-0.2,0,-0.63,1,0,1,-0.63,0,3,-0.315,1,NaN,1,-0.315,0.315,1,1
-0.114562140219275,1,0.1,0.36,0,1,0,0,0,0,3,0.18,0,NaN,NaN,-0.18,-0.18,1,1
-1.2114336955102,1,-0.1,0,-0.22,1,1,1,0,0,3,-0.11,0,0,0,0.11,0.11,1,1
1.20168372612984,1,0.25,0.9,0,1,1,1,0.9,0.9,3,0.45,0,0,0,0.45,0.45,1,1
-1.79643185833203,2,0,0.75,-0.58,1,0,1,-0.58,0.75,3,0.085,1,NaN,1,-0.665,0.665,0,1
-0.114562140219275,2,0.15,0.47,0,1,0,0,0,0,3,0.235,0,NaN,NaN,-0.235,-0.235,0,1
-0.114562140219275,2,0.1,0.36,0,1,0,0,0,0,3,0.18,0,NaN,NaN,-0.18,-0.18,0,1
1.64043234824621,1,0,0.4,-0.31,1,1,1,0.4,0.4,3,0.045,0,0,0,0.355,0.355,1,1
-1.16010382246961,1,0.25,1.25,0,1,0,0,0,0,3,0.625,0,NaN,NaN,-0.625,-0.625,1,1
2.20793953308733,2,0.25,0.9,0,1,1,1,0.9,0.9,3,0.45,0,0,0,0.45,0.45,0,1
-1.06654706259303,2,-0.15,0,-0.25,1,0,1,-0.25,0,3,-0.125,1,NaN,1,-0.125,0.125,0,1
0.523917855308858,1,0,0.25,-0.05,1,1,0,0.25,-0.05,3,0.1,1,1,NaN,0.15,-0.15,1,1
0.523917855308858,1,-0.3,0,-0.6,1,1,1,0,0,3,-0.3,0,0,0,0.3,0.3,1,1
-1.34721734222278,1,0.2,1,0,1,0,0,0,0,3,0.5,0,NaN,NaN,-0.5,-0.5,1,1
0.523917855308858,1,-0.1,0,-0.18,1,1,1,0,0,3,-0.09,0,0,0,0.09,0.09,1,1
0.523917855308858,1,0.25,0.5,0,1,0,1,0,0.5,3,0.25,1,NaN,1,-0.25,0.25,1,1
0.523917855308858,2,0.3,0.95,0,1,0,1,0,0.95,3,0.475,1,NaN,1,-0.475,0.475,0,1
0.523917855308858,1,0.25,0.46,0,1,1,0,0.46,0,3,0.23,1,1,NaN,0.23,-0.23,1,1
-1.53433086197594,1,0.25,1.25,0,1,0,0,0,0,3,0.625,0,NaN,NaN,-0.625,-0.625,1,1
0.523917855308858,1,0.2,0.63,0,1,0,1,0,0.63,3,0.315,1,NaN,1,-0.315,0.315,1,1
-0.436127035450557,1,0.15,0.42,0,1,0,1,0,0.42,4,0.21,1,NaN,1,-0.21,0.21,1,1
0.275917104060557,1,0.15,0.63,0,1,1,0,0.63,0,4,0.315,1,1,NaN,0.315,-0.315,1,1
